| v\e | e 1| e 2| e 3| e 4| e 5| e 6| e 7| e 8| e 9| e10| e11| e12| e13| e14| e15|
| v 1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 | -1 |  0 |  0 |  0 |
| v 2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 3 |  0 |  0 |  1 | -1 |  0 |  0 | -1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 4 | -1 |  1 |  0 |  0 |  1 | -1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 | -1 |
| v 5 |  0 |  0 |  0 |  0 |  0 |  0 |  1 | -1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 6 |  1 | -1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 7 |  0 |  0 |  0 |  0 | -1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 8 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 | -1 | -1 |  1 |  0 |  0 |  0 |
| v 9 |  0 |  0 | -1 |  1 |  0 |  0 |  0 |  0 | -1 |  1 |  0 |  0 | -1 |  1 |  1 |
| v10 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 | -1 |  0 |
