| v\v | v 1| v 2| v 3| v 4| v 5| v 6| v 7| v 8| v 9| v10|
| v 1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |
| v 2 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |
| v 3 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  0 |  1 |  0 |
| v 4 |  0 |  0 |  0 |  0 |  0 |  1 |  1 |  0 |  1 |  0 |
| v 5 |  0 |  1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 6 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 7 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |
| v 8 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |
| v 9 |  0 |  1 |  1 |  1 |  0 |  0 |  0 |  1 |  0 |  1 |
| v10 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |
